,img_name,labels
17073,vwg-1336-0004.png,3
2034,A__df5c9102c322863362503e3bd16954c7.png,7
3466,B__80d3daf796073cfb4aa7bb1fecdd9287.png,1
9368,ave-0072-0001.png,3
13873,vwg-0578-0012.png,3
13331,vwg-0332-0014.png,3
484,A__308fd0af8652b4e3f03490826d272fa7.png,1
550,A__37dd62d333c12bc3cafe6311cb67f52f.png,1
13827,vwg-0554-0015.png,3
11719,ave-0512-0017.png,3
7734,D__94d4362e1a9511c5eec043966019f5f1.png,6
10047,ave-0210-0018.png,3
1281,A__8ba7bb19e6dffe04dd5b4730d0d57bda.png,-1
6870,D__03d498adfda0d2341d456643a4d7f1fc.png,1
1156,A__7d2e5f120e37ccada2527f83788beb99.png,-1
8448,Ta01327.png,0
13831,vwg-0554-0019.png,3
864,A__5c46e1b34656efbeacc7a94da92ac7e9.png,2
13852,vwg-0575-0010.png,3
7922,D__b4c5ebe19a4f52d00bddba3454d7496b.png,1
1999,A__dbd675c233b36030662fd99d87549881.png,4
2415,B__0af74a76dad57f72cf62de806ddadc61.png,6
8278,Ta00834.png,0
8972,Ta02201_6_8_17.png,0
11717,ave-0512-0015.png,3
15044,vwg-0786-0010.png,3
15334,vwg-0837-0019.png,3
12603,vwg-0076-0010.png,3
9208,ave-0042-0002.png,3
4600,B__f6393123e609057f7f58103033fcc7ab.png,1
12481,vwg-0048-0006.png,3
10285,ave-0250-0012.png,3
13374,vwg-0379-0020.png,3
6871,D__03ef378d5303a16f70e195423e74b4c1.png,1
12798,vwg-0137-0013.png,3
8494,Ta01415.png,0
13482,vwg-0420-0002.png,3
2151,A__ed6431f09041cb667f07ab42bce27ce7.png,1
13460,vwg-0416-0030.png,3
1157,A__7d4f96ef0988fea485f07800fb59a139.png,2
15104,vwg-0790-0018.png,3
766,A__50fa90dafaeadcafbd2954d66411e3b9.png,2
1729,A__bc05409b1ab89e77788a230a9182d701.png,2
7619,D__857c27811f6757a8a132af1839555d96.png,7
15759,vwg-0968-0009.png,3
1678,A__b708816bc63a9e4859c4e738fe487b59.png,7
12373,vwg-0030-0004.png,3
3582,B__8c2534f8c925dbe1ea819db8e3a096d5.png,7
1272,A__8ae27a96076ced71319e658dd2e0b7a2.png,5
2604,B__22919f0544ad50bfe0e09260a110ba6a.png,2
7651,D__898ee8f3f6eaf8a744a3d8ece42a987d.png,7
14142,vwg-0608-0009.png,3
3978,B__b9f3a857ee3d262e11e1cb633aebb1b2.png,6
15337,vwg-0838-0002.png,3
6311,C__c67edf48e718168129b8f0999c95519b.png,1
96,A__08b6750544c77c69bb4af586892f1a10.png,6
1931,A__d315ca6505effb9d70729f787eee7840.png,2
9546,ave-0118-0008.png,3
11556,ave-0466-0005.png,3
7157,D__35f77cc8e179253c1dada84ba2d3a71f.png,6
15135,vwg-0796-0002.png,3
709,A__4aca4750b4c5d9b66e67865f35f55873.png,7
15330,vwg-0837-0013.png,3
8356,Ta01094.png,0
13639,vwg-0472-0004.png,3
16252,vwg-1244-0015.png,3
15559,vwg-0880-0009.png,3
722,A__4cb6731ab1daf4d164766921259ff9c7.png,6
1526,A__a65293b0766641bf2b7163525a144d6d.png,4
9095,Ta02329.png,0
16006,vwg-1224-0016.png,3
10351,ave-0256-0031.png,3
15846,vwg-1117-0009.png,3
12390,vwg-0033-0009.png,3
2890,B__41b80886ee79bc532e0bdc2b5143a379.png,6
11609,ave-0501-0005.png,3
9447,ave-0083-0018.png,3
2529,B__17e3ec0006af28ebe991fddc24170a06.png,7
14304,vwg-0640-0004.png,3
7830,D__a4f721a02594ac7c020bb9d8dc4c1c07.png,7
11622,ave-0502-0008.png,3
13951,vwg-0586-0050.png,3
13675,vwg-0496-0002.png,3
15203,vwg-0802-0007.png,3
9275,ave-0053-0020.png,3
8352,Ta01054.png,0
13353,vwg-0365-0009.png,3
8269,Ta00795.png,0
8514,Ta01454.png,0
11563,ave-0466-0012.png,3
14982,vwg-0780-0002.png,3
16274,vwg-1246-0007.png,3
16062,vwg-1228-0016.png,3
3610,B__8f265ef02172f56a4096fd05764e562e.png,1
3796,B__a495d5035582df08cb353614bdf74d1a.png,6
7738,D__95ba1b7ab0f456d0c0962d921c48c08b.png,6
4984,C__23561188e54626bc2a95291ded5199d4.png,1
10662,ave-0294-0014.png,3
10555,ave-0279-0012.png,3
6765,C__f81e7e691f39458e5ba38963ff51cabb.png,6
2046,A__e0ad4949b86cd80868387cf7dccdad9f.png,-1
6743,C__f573dd1105a03484246689be23388859.png,1
4252,B__d6c8c15fc559da326a542d762475bc92.png,1
10916,ave-0317-0017.png,3
11714,ave-0512-0012.png,3
194,A__1437254fe8d43b1c2817bab0db298c6f.png,7
5528,C__6b3f27ba0de635e1b59607b977232cc2.png,1
10511,ave-0272-0002.png,3
15036,vwg-0785-0019.png,3
10831,ave-0310-0003.png,3
579,A__3afe5abd3ffd8c9db4237056fcb8e093.png,1
8339,Ta01014.png,0
15702,vwg-0954-0005.png,3
9756,ave-0153-0012.png,3
8069,Ta00170.png,0
1326,A__905e72d6f55a33a575c6095363df2439.png,1
6064,C__ab2c81ff95f2f4bcd5ae7424e35ed3fe.png,1
7437,D__68239515d1976705552b83e99c3eab4a.png,7
5983,C__a2f6f3d425f87e168e8c1309b3f119a7.png,-1
2168,A__ef6b426b0dfdc144f1237ec3defdf04d.png,2
7210,D__3f05f6686b4326da85b36d3d3e7fbbb4.png,7
10400,ave-0262-0014.png,3
6520,C__dfa7a1488a85efdc44699c1b82667ea6.png,5
240,A__18a7eb80e605f5e30b4966bcb53020d8.png,7
7636,D__87d9a2f58b507cc9747a7d62fd2dd1e3.png,6
3200,B__63161b8564f9b25c4ac91a3b204f13e8.png,2
16493,vwg-1266-0008.png,3
6019,C__a5c20d7f1882fb3650d68e242b60c1c6.png,1
14075,vwg-0590-0051.png,3
15604,vwg-0902-0006.png,3
16727,vwg-1288-0011.png,3
3131,B__5c86f1fa7fa8516b2ca30f9ac2c05ef1.png,7
12768,vwg-0133-0015.png,3
6692,C__f0b877293ba966df09ad56ed4b762b22.png,2
4376,B__e28d15559f2cb8f332e2bc0879859c9b.png,1
15136,vwg-0796-0004.png,3
11089,ave-0332-0011.png,3
14270,vwg-0635-0005.png,3
1369,A__95daa9c2135356f5ae4aca38f5a85e81.png,-1
11516,ave-0432-0007.png,3
11706,ave-0512-0003.png,3
5658,C__7a25e020959142f0a5f48fe8510086f6.png,1
10528,ave-0272-0021.png,3
15367,vwg-0840-0004.png,3
14301,vwg-0639-0020.png,3
7880,D__ad28b63d4b68d70c7afc08eba5371d3c.png,7
13570,vwg-0443-0002.png,3
12908,vwg-0153-0006.png,3
2174,A__f0115030bb5f19b9290c121e9b517509.png,5
11565,ave-0466-0014.png,3
12609,vwg-0076-0018.png,3
12835,vwg-0143-0003.png,3
11910,ave-0540-0068.png,3
2353,B__032cb00ef20eb6f03d7adcafaa966249.png,7
17016,vwg-1326-0002.png,3
1903,A__cfa21273acca6628ce3c21fa36f1153e.png,1
2623,B__24638e74cbe62606a9cb19d39b484823.png,1
7802,D__a0a11221fde91219dba6f11aa40076ca.png,1
14524,vwg-0682-0007.png,3
11451,ave-0362-0038.png,3
787,A__5243cae8780e32ce48cf57c9d228ad13.png,7
9684,ave-0139-0013.png,3
3803,B__a5782075c27f1b9e3785cc64e5a9689a.png,7
2004,A__dc5673bc634f4fb627c373f6f2c93e78.png,5
12344,vwg-0025-0009.png,3
10111,ave-0225-0010.png,3
8205,Ta00614.png,0
11971,ave-0543-0013.png,3
12867,vwg-0147-0020.png,3
15139,vwg-0796-0009.png,3
616,A__40099350956a9574ec0874e3820d110f.png,7
7905,D__b13b3e99aad76cfbd2386279c8edd4fd.png,6
16822,vwg-1301-0009.png,3
5504,C__66770bed07779c3732426dfa9e512909.png,7
15779,vwg-0970-0006.png,3
16367,vwg-1255-0008.png,3
11390,ave-0359-0004.png,3
8391,Ta01183.png,0
6516,C__deeada7eb97cdb85db6a789096b716fc.png,2
8696,Ta01825.png,0
15132,vwg-0794-0017.png,3
7975,D__be711a4316e438212e84beacceedf227.png,7
1152,A__7ce7ed75e659cf54cc1b31f0c09f3c74.png,7
5170,C__3c909d28d8a05acfb53cd5b127cfd3ed.png,7
15939,vwg-1221-0002.png,3
4590,B__f584c6b3168b1500042e4f298a4644fd.png,7
7258,D__478e214ece2cfa6fa93bf94fb4211c93.png,6
2129,A__eb0aab6bd1521d516aef4bfd6d139529.png,7
14487,vwg-0680-0019.png,3
16494,vwg-1266-0009.png,3
4264,B__d7ed108890669066f2e4d51ac79700d7.png,7
15312,vwg-0832-0012.png,3
4423,B__e6b2dbd4f090f1fe4318b0a7aa9e4867.png,7
1580,A__ac0624f279337fa40c7dfa15c97a8250.png,7
164,A__10b265dd22a51665cd55d561714a6e0f.png,7
3162,B__5f8e8465923909eec01932163c927f9d.png,7
2864,B__3ec6a8e06bf2b937c6c40bec5f2f9a4b.png,7
9872,ave-0189-0007.png,3
2785,B__37e624063fce9e887f6cc3960a4409e5.png,7
4843,C__127380687f70156469d0381634da4888.png,6
6518,C__df7c0aea680b09b673f41171178e7d5c.png,7
4341,B__df542060b5d46c07dc85bc8c1d22ecd3.png,7
1829,A__c7aac606783f53f954c9fe9ccde9bbb2.png,7
10097,ave-0221-0025.png,3
7007,D__1a91ece68fea760de37c5708264a34fd.png,7
11697,ave-0511-0014.png,3
2514,B__16779dc99acf30566e236401975e4b69.png,7
1432,A__9c7809dca9834c24f3d9b39b24e1ab34.png,1
465,A__2e3df1fa3e38e42d540db20a55e2b482.png,1
726,A__4d4c56978c2a2d51b8d1734e152effa7.png,7
155,A__0f3982dec72c665bbc3d018ad2f4fd6f.png,1
3573,B__8bcadbed72d8aaf0fca2f4eeca208360.png,2
16922,vwg-1312-0007.png,3
12159,ave-0596-0011.png,3
16099,vwg-1232-0002.png,3
6523,C__e00b86f0185f6c7f801ec5ca69dcf6cf.png,7
8227,Ta00688.png,0
618,A__4033d709adc16b2a6758a340c1b0c000.png,7
13851,vwg-0575-0009.png,3
12360,vwg-0027-0007.png,3
1927,A__d260dc697527dacabd21b64fe8196923.png,5
17057,vwg-1334-0005.png,3
6664,C__ee3d889feb90e09b7ebd4d95c8882ff1.png,7
9000,Ta02229_6_8_17.png,0
9899,ave-0190-0016.png,3
15592,vwg-0900-0006.png,3
13398,vwg-0396-0004.png,3
16485,vwg-1265-0014.png,3
14046,vwg-0590-0017.png,3
9195,ave-0040-0018.png,3
10957,ave-0321-0002.png,3
9345,ave-0067-0016.png,3
999,A__6a02b82c447912f4b9acc9bb6611f1d6.png,7
4551,B__f2d3d968458f0eda2a16fc5752a55971.png,6
6926,D__0c382a229f9a0c7f5d8e58cff124aa1d.png,1
16142,vwg-1234-0015.png,3
2478,B__120f5a99e745b374f33e02ca5a0e01e5.png,7
9536,ave-0117-0017.png,3
12462,vwg-0044-0005.png,3
6234,C__be2213d759348525d0fe741b1af7e498.png,7
15494,vwg-0857-0020.png,3
3091,B__5861367817bc5642d379a95aa39a4f95.png,6
9528,ave-0112-0025.png,3
2012,A__dd3f38ee724e0dc1cfdf80752b6654b9.png,7
8731,Ta01896.png,0
5151,C__38ed6a263dd885ed7d4eeaff14e32c3e.png,2
8677,Ta01791.png,0
1749,A__bdeff8b77c0e22ef30bd6c86263e3170.png,7
12354,vwg-0026-0006.png,3
12669,vwg-0097-0001.png,3
2867,B__3f37de7733a90770f1e78eaee31a88c9.png,7
12842,vwg-0145-0004.png,3
15716,vwg-0960-0015.png,3
10797,ave-0306-0010.png,3
7596,D__82746ae9173a5b3b018dffe9c318269a.png,7
7285,D__4c6bee5d94befb99f27c7e2d6fd8ad37.png,1
10896,ave-0316-0006.png,3
12439,vwg-0041-0006.png,3
9742,ave-0151-0013.png,3
5399,C__5b9c308390598288cfccd6fdc67be2ee.png,7
1379,A__96db7fa71a1cb475410e0d298612529c.png,7
6474,C__d9ad74540ff605a34aef9936ce107874.png,1
1887,A__cd88b95945216ce97dad47709296efe5.png,6
1205,A__83707c626071b4803a3e342bc486e38a.png,5
9322,ave-0063-0020.png,3
10540,ave-0278-0014.png,3
12881,vwg-0150-0004.png,3
15012,vwg-0784-0007.png,3
3497,B__834fc59fd35e0b420f6110842a25c273.png,1
8489,Ta01408.png,0
7828,D__a49cce99f4fdfcb063944430cd081e68.png,1
4093,B__c6eb6e88bae4c198a42d6ce6833d21cc.png,2
6504,C__dd0078c9193cb3308a9a6b914bcde2bd.png,7
4723,C__04122c6ebc53f1d8d3e8d1226fd87959.png,7
11551,ave-0465-0002.png,3
9912,ave-0193-0009.png,3
4186,B__cf8a407dd7073951016e46662c57024c.png,-1
5966,C__a0f4a849f917e1d4f7e3fb4a01240baf.png,2
10968,ave-0322-0003.png,3
7491,D__6facb99db4261c64667b216af7e8215f.png,7
13174,vwg-0270-0002.png,3
8767,Ta01942.png,0
10502,ave-0270-0010.png,3
4450,B__e9cf95fd190e10c6a60888356259c3ad.png,7
14219,vwg-0615-0027.png,3
16020,vwg-1226-0004.png,3
12206,vwg-0006-0005.png,3
4471,B__ec5e58618e55fd9fc17995ae90f17a0b.png,7
6250,C__bfefe7f76be5fa3c8c70ecfb476acc5a.png,1
11331,ave-0358-0004.png,3
17144,vwg-1350-0002.png,3
13237,vwg-0293-0013.png,3
2280,A__faaf3f73574c575b31f1fad8c359efc2.png,5
4124,B__ca741e37cdd5c6c5be207e1befab093c.png,1
4575,B__f4824e970146df56f9c7f31d2c497970.png,7
2244,A__f756743be39c2d2172bebf310f28bad9.png,7
14903,vwg-0774-0004.png,3
84,A__07a0d59d244f5076b2b62cc565c44bb1.png,7
1954,A__d69aac7899171b9dc40305fdf63b57f6.png,2
1,A__001dd40240575adfef554e42c8e4115d.png,6
15551,vwg-0867-0005.png,3
14328,vwg-0641-0012.png,3
14658,vwg-0698-0028.png,3
8652,Ta01740.png,0
2679,B__2c578cfe83b1a40e6b7b4a7d4f2256ff.png,1
3659,B__94a00807aa602d05b0fc309a3bdd64e4.png,7
1809,A__c61376cd6b38f71338df7f1fc93c8671.png,1
2518,B__16ef11a599110d8783a1e04d2288e6bf.png,6
8683,Ta01798.png,0
5925,C__9bf3ac71c8f2244707b48935faa24dad.png,7
13649,vwg-0477-0006.png,3
16534,vwg-1270-0011.png,3
12630,vwg-0088-0010.png,3
16543,vwg-1272-0003.png,3
14784,vwg-0720-0010.png,3
982,A__67b5ee832e3414fc2b11f71b074d1dd0.png,2
9637,ave-0130-0016.png,3
9527,ave-0112-0022.png,3
8968,Ta02189_6_8_17.png,0
4201,B__d068391c3859f990f77bae9d48b7860c.png,1
5269,C__48607efc00b87c51c0121515ae56ba0f.png,1
7275,D__4996da87f4bd1291b01ac32c6ba6f3ac.png,7
15328,vwg-0837-0010.png,3
4523,B__f0b0e60ae7fe61db57fe37af79977bbd.png,7
11725,ave-0514-0003.png,3
1447,A__9e36262830b8f77ede9899a4871bd7bf.png,1
14211,vwg-0615-0018.png,3
1327,A__90630d0a8f873a5f7743565302103529.png,5
11991,ave-0544-0013.png,3
8619,Ta01657.png,0
6569,C__e551f8dd1fec69f889b561dcf31a6ce7.png,5
12122,ave-0588-0016.png,3
6938,D__0e878dbd476440826d18decdeb9b57a3.png,1
8413,Ta01241.png,0
7902,D__b09fd502965b8cc8fcabc8d92bb85752.png,7
7870,D__ab49a719feae0499001fcb68f4f867c7.png,7
10207,ave-0246-0004.png,3
7197,D__3d512e4c593506761bcd892eee1eea8e.png,1
10130,ave-0230-0007.png,3
16584,vwg-1274-0015.png,3
8122,Ta00372.png,0
8322,Ta00963.png,0
6687,C__f06cf90297b74e2415bf419911c612bf.png,1
12424,vwg-0036-0014.png,3
11743,ave-0516-0018.png,3
9011,Ta02240.png,0
231,A__1808e7de058d1bf8aad1beadd5796edb.png,2
14154,vwg-0608-0024.png,3
11038,ave-0327-0008.png,3
12278,vwg-0019-0008.png,3
12342,vwg-0025-0005.png,3
1637,A__b1a05d87bed1e29cdf8d47a7c576e824.png,7
7473,D__6de4538ed2c463ec71266e93fc9868b4.png,5
8257,Ta00767.png,0
4314,B__dcf5713d085f81be98ecbfcb9cb22043.png,7
1718,A__bb39888924b79c6690055eabfb3cea29.png,7
13190,vwg-0284-0001.png,3
9391,ave-0075-0012.png,3
7307,D__4e1f804dbde7cc3bd5753d3a1c5092bf.png,4
1558,A__a9ccc96391ad133d2085c888f2219e03.png,6
2153,A__ed9395e196410c7812016fb40c6eb8b5.png,7
10843,ave-0311-0005.png,3
11949,ave-0542-0011.png,3
1287,A__8c1e6a58b4ff510032f0aad2c533b931.png,7
7622,D__85f858628d4012b649c3476228979282.png,1
12546,vwg-0056-0003.png,3
5937,C__9d6404798c45ba1710a43030359f716d.png,1
14778,vwg-0714-0042.png,3
7721,D__92f40d80080768662fd1744b0d2f7e57.png,7
246,A__19950b18d63621de2a126cb1995ce2d2.png,1
6979,D__15a08615ac2b0007d7ecf7c24d250af1.png,6
3683,B__97219faefaf6dd571f77b0699e9d88fd.png,7
16403,vwg-1258-0011.png,3
9364,ave-0069-0016.png,3
15405,vwg-0845-0017.png,3
482,A__3059b3fadb2c63d2cd23be3fb596fa3c.png,7
1593,A__ad536b1f802eaee80e22d341f54380a5.png,7
4456,B__ea424bea403419c3c540eda823101fe1.png,2
6295,C__c517865411019b717d79ada19debde41.png,-1
10464,ave-0268-0009.png,3
14825,vwg-0744-0019.png,3
11779,ave-0523-0016.png,3
13404,vwg-0398-0006.png,3
219,A__16aa3b53623a36b13d3100ab47478c88.png,2
6861,D__01bdea2a8ac985f3d9bf5c7cb9fa41ca.png,1
8299,Ta00910.png,0
7521,D__761e4d7ef0b3d7df9880b30020a0238b.png,6
10832,ave-0310-0004.png,3
15198,vwg-0801-0019.png,3
16207,vwg-1238-0020.png,3
3668,B__9579c135adb15a69eb7e1407fa99fe9d.png,7
13324,vwg-0328-0020.png,3
3082,B__5756f23a84cc6b5d3f98120b399b04a8.png,1
1612,A__af1fc7409a1177036c4ae9a6bea7b8b7.png,5
2262,A__f9564cd1be26b7ff27284416b21c3d5a.png,7
13534,vwg-0436-0006.png,3
8945,Ta02170.png,0
935,A__62fa36d5c1dddd4f6942463810d75729.png,6
6029,C__a6cff6923144d1dfae1c669772d3abdd.png,7
6816,C__fcbf3124e2dd3f463b576cec57aa14cc.png,7
3808,B__a603e17ab852f8ac4858f46431072fe1.png,7
10066,ave-0215-0016.png,3
6036,C__a785cc20fd20d0de7d51b72df21dcc2d.png,6
16111,vwg-1232-0014.png,3
14510,vwg-0681-0022.png,3
14443,vwg-0654-0009.png,3
7956,D__bb18ec833ef2856cd57e52850a6150c4.png,7
15884,vwg-1170-0011.png,3
6377,C__cdbc8a99ace08ec5f6a954c058037b11.png,7
7934,D__b7385d7a6033e519335d1ef5a622d916.png,1
5080,C__306d6e63aa7980f7d7589a94d5336d7f.png,6
12076,ave-0571-0010.png,3
14817,vwg-0741-0025.png,3
16036,vwg-1227-0003.png,3
9513,ave-0112-0005.png,3
12179,vwg-0000-0002.png,3
10222,ave-0247-0004.png,3
11145,ave-0338-0009.png,3
995,A__697ee0faf8ad5f039026da944ef73fc3.png,7
2727,B__309770bd6c8e1e3187b481e26621e634.png,1
1780,A__c20ccae217b7c77e189ae2b55e196ab3.png,7
3624,B__906253e9d6402eb7424cc922bb75e32c.png,1
1354,A__9435bb687ec4a6d8feaf443e73d72643.png,-1
1697,A__b89460f4fbd7c95d98cbc2151d9a255e.png,7
8961,Ta02181.png,0
3941,B__b6dfb129db087d0153e49a5a3965f224.png,5
13329,vwg-0330-0008.png,3
16209,vwg-1240-0002.png,3
9362,ave-0069-0014.png,3
5235,C__44e9a3fb16f5f06ef52da5da8285a4bc.png,6
529,A__35dc32a31e16b7e080b5f3cdf2f18b75.png,7
14595,vwg-0687-0011.png,3
8888,Ta02072_6_8_17.png,0
10014,ave-0207-0016.png,3
10102,ave-0223-0015.png,3
12525,vwg-0054-0014.png,3
12508,vwg-0052-0008.png,3
6918,D__0a62755956b963c4352edf0e4dc76954.png,6
12699,vwg-0111-0003.png,3
4609,B__f7668459caec33b0d291cbe2ccd8b641.png,6
9811,ave-0168-0003.png,3
2642,B__27efb13cbcd9b6909c7cf7e239515e6a.png,1
3964,B__b876a1695c4920363c36bdd98eb2c4b8.png,5
938,A__6345609b3cb7c39f42fcf85ac951c5b7.png,7
14814,vwg-0741-0020.png,3
10180,ave-0237-0011.png,3
15293,vwg-0830-0009.png,3
14179,vwg-0608-0053.png,3
11762,ave-0519-0016.png,3
15591,vwg-0898-0019.png,3
13560,vwg-0442-0001.png,3
13207,vwg-0286-0005.png,3
8588,Ta01596.png,0
9592,ave-0125-0017.png,3
8125,Ta00375.png,0
14643,vwg-0698-0012.png,3
430,A__2b6eb05e12070ccf93ebcc9d18fcb954.png,7
15445,vwg-0852-0007.png,3
15077,vwg-0788-0001.png,3
15723,vwg-0961-0012.png,3
4849,C__12dee43a231286c75aa82141a4846b2c.png,1
3022,B__508118888ccf4f0d20c3bce07d6607bb.png,7
11808,ave-0526-0004.png,3
12476,vwg-0048-0001.png,3
7791,D__9f6aeee0bec62680f1b1c26b0a660905.png,2
14416,vwg-0652-0015.png,3
12809,vwg-0139-0005.png,3
5552,C__6d700d8965b6845fd213b457f218c50d.png,7
2231,A__f5e30352b7ccc2916be01147fb441f54.png,2
2707,B__2f00f1a3949eab7d3b3b5488fe664615.png,6
10117,ave-0225-0017.png,3
8472,Ta01373.png,0
20,A__013568abeb3b85be9a16babb0090aef1.png,7
2836,B__3c4ce26be4189249b4499c8ca2c63bcb.png,6
13322,vwg-0328-0018.png,3
3498,B__8355e34cb47e0e5493fb251bdaa95e1a.png,7
4209,B__d1321e7c2d23bd2a44a9fa6c5978af7c.png,7
1594,A__ad9c128582bca2ade6afa66411e03ca3.png,7
3572,B__8bc34a7216d4675c341829d8b14a3240.png,1
13882,vwg-0585-0005.png,3
11800,ave-0525-0016.png,3
11463,ave-0364-0003.png,3
6524,C__e02c0ff6b57770be3ef8b32cb002bb63.png,7
11059,ave-0328-0010.png,3
11,A__00c9f832d9250f9db91357683d5514cc.png,7
17066,vwg-1335-0004.png,3
5904,C__9914b43dc77f7d503fe503b1936d06bf.png,7
2713,B__2f3f9b3cc301a65356d78dcac7ea405f.png,5
5180,C__3dae1ed56ca56c1b1b06ac420f4ce9bb.png,7
5140,C__380f325b28aa5baba33533b9e82ed1f4.png,6
3653,B__93ef2135fbacd2e672a34fadd97ccb80.png,-1
7598,D__82c2803b8ff7594f2c642d2bad879bac.png,1
401,A__2798625d9a4d1d7c9bd0f292cd0a84ee.png,7
9678,ave-0139-0005.png,3
14307,vwg-0640-0011.png,3
2895,B__42282b4f8cd90eec6fab5ffc2c6b4802.png,1
8726,Ta01884.png,0
13038,vwg-0194-0001.png,3
15526,vwg-0862-0014.png,3
7540,D__78df05a585e9d7acbc9cee66e90d552b.png,7
2167,A__ef6718f3ea30296f68ee08de63ca6474.png,5
4390,B__e3e0c4f5105dcd5047e7030214cafbfc.png,1
10152,ave-0231-0015.png,3
10855,ave-0312-0008.png,3
3271,B__6953e6d27b3ea310132c2cfc149fb1c6.png,4
10794,ave-0306-0007.png,3
3645,B__92ea29e37b9ff0843320e376764bb6e9.png,1
11073,ave-0331-0004.png,3
16096,vwg-1231-0019.png,3
453,A__2d1f6062dd526b5e10ce190f323723e9.png,1
9600,ave-0126-0007.png,3
13097,vwg-0228-0007.png,3
14022,vwg-0589-0035.png,3
14310,vwg-0640-0014.png,3
12925,vwg-0157-0007.png,3
13701,vwg-0501-0022.png,3
8812,Ta01982_6_8_17.png,0
14707,vwg-0709-0010.png,3
1145,A__7c06cc3d024052944a776dc920722c31.png,6
826,A__56cb135b89460bfca27c184bd35dab2c.png,7
14035,vwg-0590-0002.png,3
2934,B__46edaf88497e1713791eaff1695a2a87.png,6
8937,Ta02157.png,0
3233,B__65859e7d44d251f0c63ec40e51530350.png,-1
10138,ave-0230-0017.png,3
9691,ave-0140-0009.png,3
1223,A__85aa0e286258cbff97d2e37cdc491f0e.png,5
6402,C__d060a5c84c2c41e97f84053e4139f3ff.png,5
